question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval05,persona,27,11,0.12348175048828125,0.3045682907104492
eval05,persona,27,12,0.2724037170410156,0.41953086853027344
eval05,persona,27,13,0.9208946228027344,0.29505062103271484
eval05,persona,27,14,0.5689620971679688,0.4035511016845703
eval05,persona,27,15,1.1409454345703125,0.7632007598876953
eval05,persona,27,16,2.4991836547851562,0.5988454818725586
eval05,persona,27,17,-0.0157928466796875,-0.193023681640625
eval05,persona,27,18,1.5733251571655273,0.05712175369262695
eval05,persona,27,19,0.013233184814453125,0.59295654296875
eval05,persona,27,20,0.11263084411621094,0.04949378967285156
eval06,emotion,20,1,0.34517478942871094,0.7339644432067871
eval06,emotion,20,2,0.0650634765625,0.17609786987304688
eval06,emotion,20,3,0.05805015563964844,0.11716890335083008
eval06,emotion,20,4,0.023851394653320312,0.09950423240661621
eval06,emotion,20,5,0.010988235473632812,0.052423715591430664
eval06,emotion,20,6,0.007700920104980469,0.03879868984222412
eval06,emotion,20,7,0.01818537712097168,-0.0018802285194396973
eval06,emotion,20,8,0.0453944206237793,0.007858574390411377
eval06,emotion,20,9,0.006865143775939941,0.02430272102355957
eval06,emotion,20,10,-0.0073871612548828125,0.01408076286315918
eval06,emotion,20,11,0.025073528289794922,0.02193140983581543
eval06,emotion,20,12,0.02037954330444336,0.032205820083618164
eval06,emotion,20,13,-0.007216989994049072,0.00081634521484375
eval06,emotion,20,14,0.02377462387084961,0.06394308805465698
eval06,emotion,20,15,0.0022177696228027344,0.024498462677001953
eval06,emotion,20,16,-0.020148754119873047,0.06524527072906494
eval06,emotion,20,17,-0.004497051239013672,0.01043701171875
eval06,emotion,20,18,-0.02096080780029297,-0.008027076721191406
eval06,emotion,20,19,0.022283926606178284,0.024185657501220703
eval06,emotion,20,20,0.002799510955810547,0.01487112045288086
eval06,emotion,27,1,1.5860366821289062,3.2260704040527344
eval06,emotion,27,2,1.5236358642578125,1.155137062072754
eval06,emotion,27,3,0.7361297607421875,1.493504524230957
eval06,emotion,27,4,0.5993690490722656,0.4606037139892578
eval06,emotion,27,5,0.39864349365234375,0.2518348693847656
eval06,emotion,27,6,0.3939361572265625,0.13457345962524414
eval06,emotion,27,7,-0.021327972412109375,0.08625411987304688
eval06,emotion,27,8,0.06908988952636719,0.19368553161621094
eval06,emotion,27,9,-0.31079864501953125,-0.2094707489013672
eval06,emotion,27,10,-0.2131643295288086,-0.1348724365234375
eval06,emotion,27,11,0.15204715728759766,-0.3500251770019531
eval06,emotion,27,12,0.04227447509765625,0.302276611328125
eval06,emotion,27,13,0.22272491455078125,0.2027435302734375
eval06,emotion,27,14,0.3910026550292969,0.19607925415039062
eval06,emotion,27,15,0.4233589172363281,-0.39603233337402344
eval06,emotion,27,16,-0.07465171813964844,0.6325569152832031
eval06,emotion,27,17,-0.12283897399902344,-0.24069595336914062
eval06,emotion,27,18,0.7252006530761719,0.4754981994628906
eval06,emotion,27,19,1.0721969604492188,0.3736763000488281
eval06,emotion,27,20,-0.02516651153564453,-0.08565521240234375
eval06,persona,20,1,0.9749279022216797,0.34702157974243164
eval06,persona,20,2,0.22536087036132812,0.08298921585083008
eval06,persona,20,3,0.17247962951660156,0.052916526794433594
eval06,persona,20,4,0.13829994201660156,0.04366660118103027
eval06,persona,20,5,0.06683731079101562,0.016980648040771484
eval06,persona,20,6,0.08907413482666016,0.04130089282989502
eval06,persona,20,7,0.018729448318481445,-0.003126204013824463
eval06,persona,20,8,0.03536224365234375,0.0025597214698791504
eval06,persona,20,9,0.036315083503723145,0.01300966739654541
eval06,persona,20,10,-0.0002086162567138672,0.0003762245178222656
eval06,persona,20,11,0.05106067657470703,0.02414870262145996
eval06,persona,20,12,0.05345273017883301,0.023104429244995117
eval06,persona,20,13,0.016004085540771484,-0.0005575418472290039
eval06,persona,20,14,0.05028343200683594,0.01629495620727539
eval06,persona,20,15,0.025041580200195312,-0.01532602310180664
eval06,persona,20,16,-0.013447761535644531,0.03275120258331299
eval06,persona,20,17,0.014037609100341797,0.008820056915283203
