question_id,condition,layer,delta_sycophancy_projection,delta_emotion_projection
eval12,emotion_positive,25,5.847942352294922,12.404972076416016
eval12,emotion_positive,26,6.389625549316406,13.376731872558594
eval12,emotion_positive,27,10.288440704345703,15.99956750869751
eval12,emotion_orthogonal,20,0.009968757629394531,10.260626792907715
eval12,emotion_orthogonal,21,-0.037192344665527344,10.208984375
eval12,emotion_orthogonal,22,0.059597015380859375,10.131406784057617
eval12,emotion_orthogonal,23,0.26349639892578125,10.143765449523926
eval12,emotion_orthogonal,24,0.13630294799804688,10.471712112426758
eval12,emotion_orthogonal,25,0.47606658935546875,10.872018814086914
eval12,emotion_orthogonal,26,0.6495685577392578,11.842826843261719
eval12,emotion_orthogonal,27,2.1344833374023438,12.319590091705322
eval12,emotion_orthogonal_matched,20,0.0113372802734375,10.659058570861816
eval12,emotion_orthogonal_matched,21,-0.0439300537109375,10.602022171020508
eval12,emotion_orthogonal_matched,22,0.05673027038574219,10.525096893310547
eval12,emotion_orthogonal_matched,23,0.2690620422363281,10.536847114562988
eval12,emotion_orthogonal_matched,24,0.13828468322753906,10.878229141235352
eval12,emotion_orthogonal_matched,25,0.48384857177734375,11.293350219726562
eval12,emotion_orthogonal_matched,26,0.6428432464599609,12.316307067871094
eval12,emotion_orthogonal_matched,27,2.124401092529297,12.76918077468872
eval12,random_control,20,0.2714061737060547,-0.026176929473876953
eval12,random_control,21,0.2836170196533203,-0.08008193969726562
eval12,random_control,22,0.28194236755371094,-0.118408203125
eval12,random_control,23,0.5506572723388672,-0.23059368133544922
eval12,random_control,24,0.6528759002685547,-0.17008209228515625
eval12,random_control,25,0.8160018920898438,0.03370094299316406
eval12,random_control,26,0.9392585754394531,0.0111236572265625
eval12,random_control,27,2.0704803466796875,0.8387665748596191
eval13,emotion_positive,20,3.308596611022949,10.829548835754395
eval13,emotion_positive,21,3.4212393760681152,10.627008318901062
eval13,emotion_positive,22,3.48905086517334,10.400668859481812
eval13,emotion_positive,23,4.207909107208252,10.735443353652954
eval13,emotion_positive,24,4.392444610595703,11.088900089263916
eval13,emotion_positive,25,4.882401943206787,11.101802825927734
