emotion,condition,layer,overlap_cosine,parallel_fraction,mean_delta_sycophancy_projection,mean_delta_emotion_projection
depressed,orthogonal_matched,22,-0.08609949,0.0074131233,-0.012128732493147254,2.706153321266174
depressed,orthogonal_matched,23,-0.08609949,0.0074131233,-0.0015492212027311326,2.5785101413726808
depressed,orthogonal_matched,24,-0.08609949,0.0074131233,-0.017336849169805647,2.479915809631348
depressed,orthogonal_matched,25,-0.08609949,0.0074131233,-0.08214589543640613,2.4189361453056337
depressed,orthogonal_matched,26,-0.08609949,0.0074131233,-0.08395221829414368,2.3593140602111817
depressed,orthogonal_matched,27,-0.08609949,0.0074131233,-0.08380082193762065,2.2972798347473145
depressed,orthogonal_matched,28,-0.08609949,0.0074131233,-0.08031039228662848,2.2556493997573854
depressed,orthogonal_matched,29,-0.08609949,0.0074131233,-0.09829433169215918,2.2069045066833497
depressed,orthogonal_matched,30,-0.08609949,0.0074131233,-0.10548181906342506,2.199209439754486
depressed,orthogonal_matched,31,-0.08609949,0.0074131233,-0.10909832306206227,2.169341492652893
depressed,orthogonal_matched,32,-0.08609949,0.0074131233,-0.11067210673354566,2.188321828842163
depressed,orthogonal_matched,33,-0.08609949,0.0074131233,-0.17599208150058984,2.2292098224163057
depressed,orthogonal_matched,34,-0.08609949,0.0074131233,-0.13261399911716582,2.2999884843826295
depressed,orthogonal_matched,35,-0.08609949,0.0074131233,-0.162107571400702,2.282837283611298
depressed,orthogonal_matched,36,-0.08609949,0.0074131233,-0.16726331152021884,2.2754088759422304
depressed,orthogonal_matched,37,-0.08609949,0.0074131233,-0.20002186633646488,2.317677319049835
depressed,orthogonal_matched,38,-0.08609949,0.0074131233,-0.22688612155616283,2.3135209679603577
depressed,orthogonal_matched,39,-0.08609949,0.0074131233,-0.9296174064278603,18.92864055633545
horrified,full,22,0.01697841,0.0002882669,0.0760385062545538,3.208125376701355
horrified,full,23,0.01697841,0.0002882669,0.08040179591625929,2.9933302283287047
horrified,full,24,0.01697841,0.0002882669,0.05663932599127293,2.891071915626526
horrified,full,25,0.01697841,0.0002882669,0.02813580713700503,2.767051434516907
horrified,full,26,0.01697841,0.0002882669,0.023845356912352143,2.683648180961609
horrified,full,27,0.01697841,0.0002882669,0.02062727389857173,2.608035910129547
horrified,full,28,0.01697841,0.0002882669,0.02078271838836372,2.5713355779647826
horrified,full,29,0.01697841,0.0002882669,0.020859439461492,2.5075950145721437
horrified,full,30,0.01697841,0.0002882669,0.01520259459502995,2.4820757865905763
horrified,full,31,0.01697841,0.0002882669,0.01311742146499455,2.4114819288253786
horrified,full,32,0.01697841,0.0002882669,-0.015151470433920622,2.3900533437728884
horrified,full,33,0.01697841,0.0002882669,-0.04127392186783254,2.401984429359436
horrified,full,34,0.01697841,0.0002882669,-0.07415857962332666,2.4334057211875915
horrified,full,35,0.01697841,0.0002882669,-0.12283217422664165,2.371113932132721
horrified,full,36,0.01697841,0.0002882669,-0.1327943241223693,2.3066759943962096
horrified,full,37,0.01697841,0.0002882669,-0.21173383072018623,2.2895551681518556
horrified,full,38,0.01697841,0.0002882669,-0.2946916863322258,2.0412887573242187
horrified,full,39,0.01697841,0.0002882669,-1.4179902341216803,13.625856733322143
horrified,orthogonal_matched,22,0.01697841,0.0002882669,0.0195804750896059,3.2091230392456054
horrified,orthogonal_matched,23,0.01697841,0.0002882669,0.025403376179747285,2.9938406467437746
horrified,orthogonal_matched,24,0.01697841,0.0002882669,0.0021965462947264314,2.891991066932678
horrified,orthogonal_matched,25,0.01697841,0.0002882669,-0.027283011539839207,2.768622124195099
horrified,orthogonal_matched,26,0.01697841,0.0002882669,-0.030869233154226093,2.685615825653076
horrified,orthogonal_matched,27,0.01697841,0.0002882669,-0.03359103035181761,2.6099520564079284
horrified,orthogonal_matched,28,0.01697841,0.0002882669,-0.03313502068631351,2.5732406616210937
horrified,orthogonal_matched,29,0.01697841,0.0002882669,-0.032665264094248414,2.5094810962677
