question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval05,persona,22,17,0.005949497222900391,-0.0006784200668334961
eval05,persona,22,18,0.0010311603546142578,9.965896606445312e-05
eval05,persona,22,19,0.004740357398986816,-0.0013388395309448242
eval05,persona,22,20,0.002583026885986328,0.0007898807525634766
eval05,persona,39,1,4.75959587097168,1.0821571350097656
eval05,persona,39,2,2.729969024658203,1.1042509078979492
eval05,persona,39,3,9.47076416015625,0.2686653137207031
eval05,persona,39,4,4.642120361328125,0.8193359375
eval05,persona,39,5,5.725376129150391,0.20278072357177734
eval05,persona,39,6,12.449203491210938,2.397003173828125
eval05,persona,39,7,5.242889404296875,0.22100448608398438
eval05,persona,39,8,3.4633026123046875,0.9581995010375977
eval05,persona,39,9,4.3529052734375,1.2000808715820312
eval05,persona,39,10,2.4659996032714844,0.8097343444824219
eval05,persona,39,11,0.7882213592529297,-0.2787642478942871
eval05,persona,39,12,3.6064414978027344,0.8110504150390625
eval05,persona,39,13,2.147655487060547,0.7475967407226562
eval05,persona,39,14,0.43523597717285156,0.18639469146728516
eval05,persona,39,15,0.12859153747558594,0.7274322509765625
eval05,persona,39,16,-0.10827255249023438,0.08393096923828125
eval05,persona,39,17,0.4630250930786133,0.5706605911254883
eval05,persona,39,18,0.022533416748046875,0.429262638092041
eval05,persona,39,19,0.011444091796875,0.4413795471191406
eval05,persona,39,20,-0.38190650939941406,0.3628849983215332
eval06,emotion,22,1,0.04376411437988281,0.1325986385345459
eval06,emotion,22,2,0.03872203826904297,0.1139535903930664
eval06,emotion,22,3,0.011459827423095703,0.03429722785949707
eval06,emotion,22,4,0.008601188659667969,0.013370275497436523
eval06,emotion,22,5,0.004127025604248047,0.01202535629272461
eval06,emotion,22,6,-0.0013401508331298828,0.008662372827529907
eval06,emotion,22,7,0.0067996978759765625,0.024632275104522705
eval06,emotion,22,8,0.005766153335571289,0.01568669080734253
eval06,emotion,22,9,0.004758358001708984,0.007967114448547363
eval06,emotion,22,10,-0.0007517337799072266,0.01455080509185791
eval06,emotion,22,11,-0.004179954528808594,0.0051097571849823
eval06,emotion,22,12,-0.004456192255020142,0.0012173354625701904
eval06,emotion,22,13,-0.0006442666053771973,0.004333376884460449
eval06,emotion,22,14,-0.003984928131103516,-0.0002588331699371338
eval06,emotion,22,15,-0.002433180809020996,0.002619922161102295
eval06,emotion,22,16,-0.0027849674224853516,-0.005782999098300934
eval06,emotion,22,17,-0.003315448760986328,-0.0002307593822479248
eval06,emotion,22,18,-0.0009975433349609375,0.0006648898124694824
eval06,emotion,22,19,-0.001837015151977539,-0.003146350383758545
eval06,emotion,22,20,-0.006142735481262207,-0.0026179254055023193
eval06,emotion,39,1,2.52410888671875,7.593738555908203
eval06,emotion,39,2,0.08477783203125,5.459197998046875
eval06,emotion,39,3,-0.5643463134765625,2.146411895751953
eval06,emotion,39,4,1.0508232116699219,1.4247722625732422
eval06,emotion,39,5,0.379241943359375,-1.44207763671875
eval06,emotion,39,6,-0.8805809020996094,-0.09696197509765625
eval06,emotion,39,7,1.1104888916015625,-0.13001060485839844
eval06,emotion,39,8,0.11551856994628906,0.4157428741455078
eval06,emotion,39,9,0.6368942260742188,0.4847526550292969
eval06,emotion,39,10,0.2532806396484375,0.5096702575683594
eval06,emotion,39,11,-0.3153533935546875,-0.2592277526855469
eval06,emotion,39,12,-0.6900129318237305,0.5620574951171875
eval06,emotion,39,13,-1.1771841049194336,-0.115997314453125
eval06,emotion,39,14,-0.6639137268066406,0.4176292419433594
eval06,emotion,39,15,0.07192611694335938,0.8916664123535156
eval06,emotion,39,16,0.10541534423828125,0.5438957214355469
eval06,emotion,39,17,0.04230499267578125,0.04860687255859375
eval06,emotion,39,18,-0.059049129486083984,-0.15437698364257812
eval06,emotion,39,19,0.1907196044921875,-0.4146919250488281
eval06,emotion,39,20,0.2128314971923828,0.8424148559570312
eval06,persona,22,1,0.2059493064880371,0.03487706184387207
eval06,persona,22,2,0.17676639556884766,0.03941845893859863
eval06,persona,22,3,0.0615849494934082,0.006551980972290039
eval06,persona,22,4,0.022123336791992188,0.0018705129623413086
